ID_Transacao,Data_Venda,ID_Cliente,Nome_Cliente,Genero_Cliente,Faixa_Etaria,Regiao,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Desconto_Pct,Metodo_Pagamento,Status_Pedido,Canal_Venda
27807,2026-10-05,117,Kevin Pimenta,M,26-35,Norte,Lingerie Cropped com Bojo,Lingerie,70.51,3,10.0,Pix,Entregue,Site
16324,2022-12-24,446,Ana Sophia Barros,F,26-35,Sudeste,Gel Excitante Masculino,Lubrificantes,76.6,2,15.0,Cartão Crédito,Entregue,App
20565,2023-04-27,283,Bárbara Novais,F,26-35,Nordeste,Corda de Shibari 5m,Acessórios BDSM,120.43,1,30.0,Cartão Débito,Entregue,Site
8050,2018-12-19,45,Yuri Albuquerque,M,46+,Sudeste,Vibrador Rabbit Premium,Vibradores,90.54,1,0.0,Pix,Entregue,Site
2648,2021-09-28,209,Maria Julia Fernandes,F,36-45,Sudeste,Gel Excitante Feminino,Lubrificantes,88.81,3,0.0,Cartão Crédito,Entregue,App
17186,2021-06-18,72,Ana Beatriz Farias,F,46+,Norte,Massageador Corporal Wave,Vibradores,468.28,1,25.0,Pix,Entregue,App
18866,2021-12-09,62,Sra. Eloah da Luz,F,26-35,Sudeste,Lubrificante Sabores Baunilha,Lubrificantes,53.53,1,15.0,Pix,Entregue,Marketplace
24183,2017-11-10,178,Brayan Marques,M,26-35,Sudeste,Fantasia Policial,Lingerie,75.65,2,0.0,Cartão Crédito,Entregue,Site
21395,2024-02-04,537,Maitê Rocha,F,18-25,Sul,Vibrador Clássico Silicone,Vibradores,285.81,3,25.0,Pix,Entregue,Marketplace
27247,2024-12-26,2209,Fernando Sampaio,M,46+,Nordeste,Body Rendado Vermelho,Lingerie,179.42,2,30.0,Pix,Entregue,Site
19734,2020-10-03,173,Srta. Antonella da Paz,F,18-25,Sudeste,Gel Excitante Feminino,Lubrificantes,71.34,1,30.0,Pix,Entregue,App
2541,2016-06-13,323,Dra. Nicole Jesus,F,46+,Sul,Lubrificante Sabores Baunilha,Lubrificantes,64.82,1,20.0,Boleto,Entregue,Site
1711,2021-07-29,50,João Montenegro,M,26-35,Sudeste,Body Coelhinha Plus Size,Lingerie,147.13,2,0.0,Pix,Entregue,Marketplace
28827,2017-05-06,250,Raquel Cunha,F,26-35,Sudeste,Creme Excitante Feminino,Cosméticos Íntimos,82.66,5,0.0,Cartão Crédito,Cancelado,Site
15416,2017-05-14,420,Isaac Fonseca,M,26-35,Sul,Massageador Corporal Wave,Vibradores,244.94,2,0.0,Cartão Débito,Entregue,Site
29092,2020-03-01,833,Vitor Gabriel Gonçalves,M,26-35,Nordeste,Gel Excitante Feminino,Lubrificantes,56.02,4,20.0,Pix,Entregue,App
23126,2018-12-23,130,Sra. Mariane Novais,F,46+,Nordeste,Lingerie Cropped com Bojo,Lingerie,121.81,2,0.0,Cartão Crédito,Entregue,Marketplace
29585,2020-09-13,46,Dra. Bruna Rodrigues,F,18-25,Nordeste,Dominó Erótico,Jogos Adultos,77.7,1,0.0,Boleto,Entregue,App
25101,2024-02-25,55,Agatha Peixoto,F,46+,Nordeste,Fantasia Policial,Lingerie,97.65,2,30.0,Cartão Crédito,Devolvido,App
6603,2024-02-17,137,Luiz Gustavo Vasconcelos,M,26-35,Nordeste,Vibrador Duplo Prazer,Vibradores,90.28,2,0.0,Pix,Entregue,Site
9850,2022-11-26,211,Ravi Lucca Cardoso,Não informado,26-35,Sudeste,Corda de Shibari 5m,Acessórios BDSM,141.79,1,0.0,Cartão Crédito,Entregue,Site
5733,2020-12-24,320,Luara da Cunha,F,26-35,Nordeste,Lubrificante Base Silicone,Lubrificantes,40.89,2,0.0,Cartão Débito,Entregue,App
21927,2023-02-23,16,Sra. Zoe Campos,F,18-25,Sudeste,Fantasia Policial,Lingerie,96.94,3,0.0,Pix,Entregue,Site
10192,2019-02-12,108,Sra. Isabella da Luz,Não informado,36-45,Centro-Oeste,Kit Cuidados Íntimos,Cosméticos Íntimos,51.26,1,0.0,Pix,Entregue,Site
2618,2025-03-11,95,Juan Cunha,M,26-35,Sul,Mini Vibrador Discreto,Vibradores,112.38,1,0.0,Cartão Crédito,Entregue,Site
8388,2025-04-22,122,Daniela da Mata,F,26-35,Sul,Body Rendado Vermelho,Lingerie,125.89,1,0.0,Pix,Entregue,Site
28886,2023-02-14,5,Ana Beatriz Alves,F,18-25,Sul,Lubrificante Sabores Morango,Lubrificantes,38.12,1,0.0,Cartão Crédito,Entregue,Marketplace
12837,2017-09-24,754,Rebeca Dias,F,46+,Sudeste,Lubrificante Sabores Baunilha,Lubrificantes,74.61,2,0.0,Pix,Entregue,Site
