ID_Transacao,Data_Venda,ID_Cliente,Nome_Cliente,Genero_Cliente,Faixa_Etaria,Regiao,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Desconto_Pct,Metodo_Pagamento,Status_Pedido,Canal_Venda,Valor_Total,Ano,Mes,AnoMes,DiaSemana
1920,2023-02-10,146,Heloísa Câmara,F,26-35,Nordeste,Body Rendado Vermelho,Lingerie,60.51,2,0.0,Cartão Crédito,Entregue,App,121.02,2023,2,2023-02,Friday
5216,2024-12-05,251,Joana Fernandes,F,46+,Sudeste,Óleo de Massagem Relaxante,Lubrificantes,38.73,1,0.0,Cartão Crédito,Devolvido,Site,38.73,2024,12,2024-12,Thursday
4252,2024-10-11,18,Maria Cecília Oliveira,F,26-35,Centro-Oeste,Gel Excitante Masculino,Lubrificantes,67.32,1,0.0,Cartão Crédito,Entregue,Site,67.32,2024,10,2024-10,Friday
231,2023-12-04,404,Julia Pacheco,F,18-25,Sul,Body Coelhinha Plus Size,Lingerie,145.59,1,30.0,Cartão Crédito,Entregue,App,101.91,2023,12,2023-12,Monday
3361,2024-04-18,406,Sr. Ravy Alves,M,36-45,Sudeste,Kit Algemas Veludo,Acessórios BDSM,130.39,2,10.0,Cartão Crédito,Entregue,Site,234.7,2024,4,2024-04,Thursday
5024,2024-03-22,332,Bruna Martins,F,46+,Sudeste,Lubrificante Sabores Baunilha,Lubrificantes,61.25,2,0.0,Pix,Entregue,App,122.5,2024,3,2024-03,Friday
1085,2023-04-22,634,Ana Vitória Rios,F,26-35,Nordeste,Vibrador Clássico Silicone,Vibradores,152.93,1,0.0,Boleto,Entregue,App,152.93,2023,4,2023-04,Saturday
1965,2024-02-15,228,Maria Eduarda Cavalcante,F,18-25,Sudeste,Lingerie Cropped com Bojo,Lingerie,189.21,1,0.0,Pix,Entregue,Site,189.21,2024,2,2024-02,Thursday
4467,2023-04-24,40,Thomas Monteiro,M,36-45,Sudeste,Lubrificante Sabores Morango,Lubrificantes,72.84,2,0.0,Cartão Crédito,Entregue,Site,145.68,2023,4,2023-04,Monday
382,2024-11-06,314,Maya Porto,F,36-45,Sul,Fantasia Enfermeira,Lingerie,143.09,1,30.0,Cartão Crédito,Entregue,Marketplace,100.16,2024,11,2024-11,Wednesday
3575,2024-10-25,528,Gabriel Duarte,M,18-25,Sudeste,Massageador Corporal Wave,Vibradores,118.23,3,0.0,Cartão Débito,Devolvido,Site,354.69,2024,10,2024-10,Friday
